chapter_ID	end_ID
33006	33006016
33007	33007020
34001	34001015
34002	34002013
34003	34003019
35001	35001017
35002	35002020
35003	35003019
36001	36001018
36002	36002015
36003	36003020
37001	37001015
37002	37002023
38001	38001021
38002	38002013
38003	38003010
38004	38004014
38005	38005011
38006	38006015
38007	38007014
38008	38008023
38009	38009017
38010	38010012
38011	38011017
38012	38012014
38013	38013009
38014	38014021
39001	39001014
39002	39002017
39003	39003018
39004	39004006
68001	68001022
68002	68002014
68003	68003017
68004	68004021
68005	68005022
68006	68006018
68007	68007016
68008	68008021
68009	68009006
68010	68010013
68011	68011018
68012	68012022
68013	68013017
68014	68014015
69001	69001016
69002	69002028
69003	69003010
69004	69004015
69005	69005024
69006	69006021
69007	69007032
69008	69008036
69009	69009014
69010	69010023
69011	69011023
69012	69012020
69013	69013020
69014	69014019
69015	69015014
69016	69016025
70001	70001022
70002	70002023
70003	70003015
70004	70004017
70005	70005014
70006	70006014
70007	70007010
70008	70008017
70009	70009032
70010	70010013
70011	70011012
70012	70012006
70013	70013018
70014	70014019
70015	70015016
70016	70016024
71001	71001016
71002	71002024
71003	71003019
71004	71004020
71005	71005023
71006	71006025
71007	71007030
71008	71008021
71009	71009018
71010	71010021
71011	71011026
71012	71012027
71013	71013019
71014	71014031
71015	71015019
71016	71016029
71017	71017021
71018	71018025
71019	71019022
72001	72001030
72002	72002017
72003	72003031
72004	72004031
72005	72005015
72006	72006037
72007	72007036
72008	72008019
72009	72009018
72010	72010031
72011	72011034
72012	72012018
72013	72013026
72014	72014027
72015	72015020
72016	72016030
72017	72017032
72018	72018033
72019	72019030
72020	72020031
72021	72021028
72022	72022027
72023	72023027
72024	72024034
72025	72025026
72026	72026029
72027	72027030
72028	72028026
72029	72029028
72030	72030025
72031	72031031
72032	72032024
72033	72033033
72034	72034031
72035	72035026
72036	72036031
72037	72037031
72038	72038034
72039	72039035
72040	72040030
72041	72041022
72042	72042025
72043	72043033
72044	72044023
72045	72045026
72046	72046020
72047	72047025
72048	72048025
72049	72049016
72050	72050029
72051	72051030
73001	73001022
73002	73002035
73003	73003037
73004	73004037
73005	73005009
73006	73006073
74006	74006073
75001	75001068
76001	76001064
77001	77001042
78001	78001064
78002	78002070
