startid	endid	title
13013001	13013014	The Ark of the Covenant Brought from Kiriath-Jearim
13014001	13014007	David’s Wives and Children
13014008	13014017	David Defeats the Philistines
13015001	13015029	David’s Wives and Children
13016001	13016007	The Ark of the Covenant Placed in Its Tent
13016008	13016036	David’s Song of Thanks
13016037	13016043	Worship and the Ark
13017001	13017015	Yahweh’s Covenant with David
13017016	13017027	David’s Prayer
13018001	13018013	David’s Victory over His Enemies
13018014	13018017	David’s Administration
13019001	13019019	The Ammonites Humiliate David’s Messengers
13020001	13020003	The Capture of Rabbah
13020004	13020008	The Philistine Giants Slain
13021001	13021017	The Census of David
13021018	13022001	David Builds an Altar
13022002	13022005	David’s Preparations for Building the Temple
13022006	13022019	Solomon Charged with Building the Temple of Yahweh
13023001	13023032	David Organizes the Levites
13024001	13024031	David Organizes the Priests
13025001	13025031	David Organizes the Musicians
13026001	13026019	The Divisions of the Gatekeepers
13026020	13026032	Treasurers and Other Officials
13027001	13027015	Military Divisions
13027016	13027034	Leaders of the Tribes and Other High Ranking Officials
13028001	13028008	David’s Charge to Israel
13028009	13028021	David’s Charge to Solomon
13029001	13029020	Offerings for the Temple
13029021	13029025	Solomon’s Coronation
13029026	13029030	The Death of King David
14001001	14001006	Solomon Worships at Gibeon
14001007	14001013	Solomon’s Prayer for Wisdom
14001014	14001017	Solomon’s Wealth
14002001	14002018	Solomon Petitions the King of Tyre
14003001	14003017	Solomon Builds the Temple
14004001	14004022	The Furnishings of Solomon’s Temple
14005001	14005014	The Ark Installed in the Temple
14006001	14006011	Solomon Blesses the People
14006012	14006042	Solomon’s Prayer to Dedicate the Temple
14007001	14007003	God Answers with Fire from Heaven
14007004	14007011	The Temple Dedication
14007012	14007022	God’s Charge to Solomon
14008001	14008018	Solomon’s Accomplishments and Deeds
14009001	14009012	Solomon and the Queen of Sheba
14009013	14009028	Solomon’s Great Wealth
14009029	14009031	The Death of Solomon
14010001	14010019	Rehoboam’s Debacle
14011001	14011012	Rehoboam’s Kingdom
14011013	14011017	The Priests and Levites Come to Jerusalem
14011018	14011023	Rehoboam’s Harem and Family
14012001	14012012	Shishak of Egypt Invades Jerusalem
14012013	14012016	The Death of Rehoboam
14013001	14013022	Abijah and Civil War
14014001	14014015	The Reign of Asa in Judah
14015001	14015019	Asa’s Religious Reforms
14016001	14016014	The End of Asa’s Reign
14017001	14017019	Jehoshaphat Reigns in Judah
14018001	14018027	Jehoshaphat’s Alliance with Ahab
14018028	14018034	The Death of Ahab
14019001	14019011	Jehoshaphat’s Reforms
14020001	14020019	The Prayer of Jehoshaphat
14020020	14020030	God Delivers Judah and Jerusalem
14020031	14020037	The End of Jehoshaphat’s Reign
14021001	14021020	The Reign of Jehoram
14022001	14022009	The Reign of Ahaziah
14022010	14022012	The Reign of Athaliah
14023001	14023021	Joash Is Made King
14024001	14024022	Joash Repairs the Temple
14024023	14024027	The Death of Joash
14025001	14025028	The Reign of Amaziah
14026001	14026023	The Reign of Uzziah
14027001	14027009	The Reign of Jotham
14028001	14028027	The Reign of Ahaz
14029001	14029036	The Reign of Hezekiah
14030001	14030027	Hezekiah Celebrates Passover
14031001	14031021	Hezekiah Organizes the Priesthood
14032001	14032019	Sennacherib’s Invasion of Judah
14032020	14032023	Yahweh’s Deliverance of Jerusalem
14032024	14032033	The Rest of Hezekiah’s Reign
14033001	14033009	The Reign of Manasseh
14033010	14033019	Manasseh’s Repentance
14033020	14033025	Amon’s Reign
14034001	14034007	The Reign of Josiah
14034008	14034033	The Scroll of the Law Discovered
14035001	14035019	Josiah Observes the Passover
14035020	14035027	The Death of Josiah
14036001	14036016	The Decline of Judah
14036017	14036021	The Destruction of Jerusalem
14036022	14036023	The Decree of Cyrus
15001001	15001011	The Decree of Cyrus
15002001	15002067	The List of Returned Exiles
15002068	15002070	Gifts Given for Temple Work
15003001	15003007	Worship in Jerusalem Restored
15003008	15003013	Foundation of the Temple is Laid
15004001	15004005	Resistance to Rebuilding the House of God
15004006	15004024	Resistance to Rebuilding Jerusalem
15005001	15005017	Temple Restoration Resumed
15006001	15006005	Darius’ Search for the Decree
15006006	15006012	The Decree of Darius
15006013	15006018	Temple is Dedicated and Completed
15006019	15006022	The Celebration of Passover
15007001	15007010	Ezra’s Arrival and Work
15007011	15007028	Artaxerxes’ Letter to Ezra
15008001	15008014	Family Heads Who Returned With Ezra
15008015	15008020	Servants for the Temple are Gathered
15008021	15008023	Ezra Proclaims a Fast
15008024	15008030	The Priests’ Gift for the Temple
15008031	15008036	Return to Jerusalem
15009001	15009004	Disdain Over Mixed Marriages
15009005	15009015	Ezra Prays
15010001	15010005	The People Respond
15010006	15010044	Foreign Wives and Children are Sent Away
16001001	16001011	Nehemiah’s Prayer for the People
16002001	16002010	Nehemiah Sent
16002011	16002020	Nehemiah Inspects the Walls and Decides to Restore Them
16003001	16003032	Organization of the Work
16004001	16004006	Opposition Begins
16004007	16004023	Opposition Stopped
16005001	16005013	Nehemiah Deals with Strife
16005014	16005019	Nehemiah Denies His Allotment
16006001	16006014	Enemies Foiled
16006015	16007004	The Wall is Completed
16007005	16007073	Lists of the Exiles Who Returned
16008001	16008012	Ezra Reads the Law to the People
16008013	16008018	Festival of Booths
16009001	16009038	The Nation Confesses
16010001	16010027	The Names of Those Who Signed the Covenant
16010028	16010039	A Summary of the Covenant
16011001	16011024	The Leaders and Servants in Jerusalem
16011025	16011036	Villages Outside of Jerusalem
16012001	16012026	The Leaders and Servants in Jerusalem
16012027	16012043	Dedication of the Wall of Jerusalem
16012044	16012047	Celebration at the Temple
16013001	16013003	Israel Separates Itself
16013004	16013014	Nehemiah Brings Reform
16013015	16013022	Nehemiah Begins Sabbath Reforms
16013023	16013031	Mixed Marriages are Condemned
17001001	17001009	The King’s Banquets
17001010	17001022	Queen Vashti Refuses the King’s Request
17002001	17002018	Esther is Chosen Queen
17002019	17002023	A Plot Against the King
17003001	17003015	Haman is Promoted
17004001	17004017	Mordecai Tells Esther of Haman’s Plot
17005001	17005014	Esther’s Banquet
17006001	17006014	Mordecai is Honored
17007001	17007006	Esther’s Banquet
17007007	17007010	Haman Is Hanged
17008001	17008017	Mordecai is Promoted
17009001	17009019	The Jews Destroy Their Enemies
17009020	17009032	The Feast of Purim
17010001	17010003	Title
18001001	18001012	Job’s Character and Greatness
18001013	18001022	The Adversary’s Attack on Job’s Possessions
18002001	18002006	The Adversary’s Attack on Job’s Person
18002007	18002013	Job’s Blameless Behavior
18003001	18003010	Job Regrets His Birth
18003011	18003019	Job Wishes He Had Died
18003020	18003026	Job Wishes He Might Die
18004001	18004021	Eliphaz’s First Response to Job
18005001	18005027	Eliphaz’s Response Continues
18006001	18006030	Job’s Second Speech: A Response to Eliphaz
18007001	18007021	Job’s Second Speech: A Response to Eliphaz
18008001	18008022	Bildad’s First Response to Job
18009001	18009035	Job’s Third Speech: A Response to Bildad
18010001	18010022	Job Continues His Response to Bildad
18011001	18011020	Zophar’s First Response to Job
18012001	18012025	Job’s Fourth Speech
18013001	18013019	Job’s Fourth Speech Continues
18013020	18013028	Job Argues His Case with God
18014001	18014022	Job Continues to Argue His Case with God
18015001	18015035	Eliphaz’s Second Response to Job
18016001	18016022	Job’s Fifth Speech
18017001	18017016	Job’s Fifth Speech, Continued
18018001	18018021	Bildad’s Second Speech
18019001	18019029	Job’s Sixth Speech: A Response to Bildad
18020001	18020029	Zophar’s Second Speech
18021001	18021034	Job’s Seventh Speech: A Response to Zophar
18022001	18022030	Eliphaz’s Third Speech
18023001	18023017	Job’s Eighth Speech: A Response to Eliphaz
18024001	18024025	Job’s Eighth Speech, Continued
18025001	18025006	Bildad’s Third Speech
18026001	18026014	Job’s Ninth Speech: A Response to Bildad
18027001	18027023	Job Continues His Final Speech
18028001	18028028	Job’s Discourse on Wisdom
18029001	18029025	Job’s Final Defense
18030001	18030031	Job’s Final Defense Continued
18031001	18031040	Job’s Final Defense Continued
18032001	18032022	Elihu Rebukes Job and His Three Friends
18033001	18033033	Elihu Rebukes Job
18034001	18034037	Elihu Asserts God’s Justice
18035001	18035016	Elihu Condemns Job
18036001	18036033	Elihu Extols God’s Greatness
18037001	18037024	Elihu Extols God’s Majesty
18038001	18038003	Yahweh Challenges Job
18038004	18040002	Yahweh Interrogates Job
18040003	18040005	Job Responds to Yahweh
18040006	18040007	Yahweh Challenges Job Again
18040008	18041034	Yahweh Interrogates Job Again
18042001	18042017	Job’s Repentance and Restoration
19001001	19001006	The Ways of the Righteous and the Wicked
19002001	19002012	The Messiah’s Reign
19003000	19003008	A Call to Yahweh in Distress
19004000	19004008	Safety in Yahweh
19005000	19005012	A Prayer for Guidance and Protection
19006000	19006010	An Appeal for Forgiveness and Deliverance
19007000	19007017	Prayer for Deliverance from Enemies
19008000	19008009	Yahweh’s Glory in Creation
19009000	19009020	Praise for Yahweh’s Justice
19010001	19010018	A Prayer for God to Throw down the Wicked
19011000	19011007	Confidence in Yahweh’s Righteousness
19012000	19012008	Human Faithlessness and God’s Faithfulness
19013000	19013006	Trust in the Salvation of Yahweh
19014000	19014007	The Folly of the Godless and God’s Final Triumph
19015000	19015005	A Description of Those Who May Dwell with Yahweh
19016000	19016011	Confidence in Yahweh
19017000	19017015	Prayer for Vindication and Protection
19018000	19018050	Praise to God for His Deliverance
19019000	19019014	Yahweh’s Creation and Law
19020000	19020009	God’s Blessing on the King
19021000	19021013	Joy in the Salvation of Yahweh
19022000	19022031	Suffering and Waiting for Deliverance
19023000	19023006	Yahweh the Shepherd
19024000	19024010	The King of Glory
19025000	19025022	A Prayer for Guidance, Deliverance, and Forgiveness
19026000	19026012	A Prayer for Vindication
19027000	19027014	A Declaration of Trust
19028000	19028009	A Prayer for Help, and Joy in Its Answer
19029000	19029011	Praise to God for His Glory and Strength
19030000	19030012	Thanksgiving for Answered Prayer
19031000	19031024	Yahweh Is a Fortress
19032000	19032011	Thanksgiving for Forgiveness of Sins
19033001	19033022	Praise to Yahweh for His Character and Creation
19034000	19034022	Thanksgiving for Yahweh’s Deliverance
19035000	19035028	A Prayer for Rescue from Enemies
19036000	19036012	Human Wickedness and God’s Love
19037000	19037040	The Protection of the Righteous and the Destruction of the Wicked
19038000	19038022	A Prayer of Repentance
19039000	19039013	The Brevity of Human Life
19040000	19040017	God’s Faithfulness and Deliverance
19041000	19041013	Thanksgiving for God’s Provision in Time of Sickness
19042000	19042011	Hope in God in the Midst of Despair
19043001	19043005	A Prayer for Rescue
19044000	19044026	Present Defeat and Past Deliverance
19045000	19045017	Celebration of a Royal Wedding
19046000	19046011	God Provides for and Protects His People
19047000	19047009	God Is King over All the Earth
19048000	19048014	The Greatness of God in Zion
19049000	19049020	Wealth and the Fate of the Wicked
19050000	19050023	An Oracle Concerning Sacrifices
19051000	19051019	A Prayer of Repentance and Plea for Mercy
19052000	19052009	God’s Judgment on the Wicked and Love for the Faithful
19053000	19053006	The Folly of the Godless and Salvation for Israel
19054000	19054007	Answered Prayer for Deliverance from Adversaries
19055000	19055023	Betrayal of a Friend and Trust in God
19056000	19056013	Prayer for Deliverance and Confidence in God
19057000	19057011	Prayer for Rescue from Enemies
19058000	19058011	Judgment on the Wicked
19059000	19059017	A Prayer for Protection
19060000	19060012	A Lament After a Defeat and a Prayer for Restoration
19061000	19061008	Confidence in God’s Protection
19062000	19062012	Confidence in God’s Salvation
19063000	19063011	Longing for God
19064000	19064010	A Plea for Divine Retribution
19065000	19065013	Thanksgiving for God’s Provision
19066000	19066020	Thanksgiving to God for His Works
19067000	19067007	A Prayer of Blessing
19068000	19068035	Praise to God for Providing Victory
19069000	19069036	A Plea for Deliverance from Persecution
19070000	19070005	A Prayer for Deliverance from Enemies
19071001	19071024	A Prayer to God the Rock of Refuge
19072000	19072020	A Prayer for the Prosperity of God’s Anointed King
19073000	19073028	The Wicked and the Righteous Contrasted
19074000	19074023	A Lament in Time of National Defeat
19075000	19075010	Thanksgiving for God’s Future Help
19076000	19076012	Praise to God for His Rescue of Israel
19077000	19077020	Remembering God’s Help for Israel
19078000	19078072	God’s Faithfulness in Israel’s History
19079000	19079013	A Lament for Jerusalem after Its Destruction
19080000	19080019	A Prayer to Restore Israel
19081000	19081016	An Appeal from God to Israel
19082000	19082008	God Commands Justice
19083000	19083018	A Request to Act against Israel’s Neighbors
19084000	19084012	The Joy of Worshiping in the Temple
19085000	19085013	Hope in God’s Future Help
19086000	19086017	A Prayer for Help against Ruthless Men
19087000	19087007	Foreign Nations Come to Worship in Jerusalem
19088000	19088018	A Prayer for Help in Despair
19089000	19089052	Remembering the Covenant with David, and Sorrow for Lost Blessings
19090000	19090017	God’s Eternity and Human Frailty
19091001	19091016	God’s Protection in Times of Crisis
19092000	19092015	Thanksgiving to Yahweh for Victory
19093001	19093005	Yahweh Is King Over All the Earth
19094001	19094023	A Prayer for Retribution against Oppressors
19095001	19095011	A Call to Worship and Obey
19096001	19096013	Yahweh the King Comes in Judgment
19097001	19097012	Yahweh’s Glorious Reign
19098000	19098009	Praise to Yahweh for His Salvation and Judgment
19099001	19099009	Yahweh Is a Holy King
19100000	19100005	Worship God with Joy
19101000	19101008	A Promise to Act with Integrity
19102000	19102028	A Plea for Personal and National Help
19103000	19103022	Thanksgiving for Yahweh’s Compassion
19104001	19104035	Praise to Yahweh for His Creation and Providence
19105001	19105045	Praise to Yahweh for His Work on Behalf of Israel
19106001	19106048	Praise to Yahweh for His Faithfulness in Israel’s History
19107001	19107043	Thanksgiving to Yahweh for His of Deliverance
19108000	19108013	Prayer to Yahweh for Victory over Enemies
19109000	19109031	A Prayer for Help against Enemies
19110000	19110007	Yahweh Gives Authority to His Messiah
19111001	19111010	Praise to God for His Work and Commands
19112001	19112010	The Path of the Righteous and the Path of the Wicked
19113001	19113009	God’s Majesty and Care for the Needy
19114001	19114008	Praise to God for His Works During the Exodus
19115001	19115018	Dead Idols and the Living God
19116001	19116019	Thanksgiving for God’s Deliverance
19117001	19117002	Let All Peoples Praise Yahweh
19118001	19118029	Praise to God for His Loyal Love
19119001	19119008	Aleph﻿a
19119009	19119016	Beth
19119017	19119024	Gimel
19119025	19119032	Daleth
19119033	19119040	Heʼ
19119041	19119048	Waw
19119049	19119056	Zayin
19119057	19119064	Heth
19119065	19119072	Teth
19119073	19119080	Yod
19119081	19119088	Kaph
19119089	19119096	Lamed
19119097	19119104	Mem
19119105	19119112	Nun
19119113	19119120	Samek
19119121	19119128	ʽAyin
19119129	19119136	Pe
19119137	19119144	Tsade
19119145	19119152	Qoph
19119153	19119160	Resh
19119161	19119168	Sin/Shin
19119169	19119176	Taw
19120000	19120007	Prayer for Deliverance from Enemies
19121000	19121008	Trust in God’s Protection
19122000	19122009	Jerusalem the Site of God’s Presence
19123000	19123004	Prayer for Yahweh’s Action in the Face of Scorn
19124000	19124008	Thanksgiving for Yahweh’s Help
19125000	19125005	Confidence in Yahweh’s Protection
19126000	19126006	A Prayer for Restoration
19127000	19127005	A Prayer for Protection and Prosperity
19128000	19128006	Blessed Is Everyone Who Fears Yahweh
19129000	19129008	Victory Over the Enemies of Zion
19130000	19130008	Hope for the Redemption of Yahweh
19131000	19131003	Calm Trust in Yahweh
19132000	19132018	Yahweh Dwells in Zion
19133000	19133003	The People of God Dwell in Unity
19134000	19134003	Praising Yahweh in the Temple at Night
19135001	19135021	Praise to God for His Power and Redemption
19136001	19136026	Praise to God for His Creation and Deliverance
19137001	19137009	Lament During the Babylonian Exile
19138000	19138008	Thanksgiving for Yahweh’s Goodness
19139000	19139024	The Knowledge of God
19140000	19140013	Prayer for Help in the Face of Enemies
19141000	19141010	Prayer for God’s Help in Maintaining Integrity
19142000	19142007	A Prayer for Deliverance from Pursuers
19143000	19143012	A Prayer for Rescue from Enemies
19144000	19144015	A Prayer for National Safety
19145000	19145021	A Song of God’s Majesty and Love
19146001	19146010	Praise to Yahweh for His Help
19147001	19147020	Praise to Yahweh for His Providence
19148001	19148014	Let All Creation Praise Yahweh
19149001	19149009	Praise to God for His Future Judgment
19150001	19150006	Let Everything Praise Yahweh
20001001	20001007	Prologue
20001008	20001019	Lecture Against Gang Behavior
20001020	20001033	The Call of Lady Wisdom
20002001	20002022	The Benefits of Wisdom
20003001	20003010	Wisdom and Piety
20003011	20003018	Happy Is the One Who Finds Wisdom
20003019	20003035	Role of Wisdom in Creation and Society
20004001	20004009	The Father’s Wisdom
20004010	20004019	The Right Path
20004020	20005006	Staying the Course
20005007	20005023	Do Not Commit Adultery Against Wisdom
20006001	20006005	Against Pledges
20006006	20006011	Against Sloth
20006012	20006015	Against Worthlessness
20006016	20006019	What Yahweh Hates
20006020	20006026	Commandment and Instruction as Guardians
20006027	20006035	Warning Against Relations with a Married Woman
20007001	20007023	Warning Against the Strange Woman
20007024	20007027	Reiteration of the Warning Against a Strange Woman
20008001	20008021	Wisdom Calls
20008022	20008031	Wisdom at Creation
20008032	20008036	Benefits of Following Wisdom
20009001	20009009	Wisdom’s Banquet
20009010	20009018	Foolishness’ Banquet
20010001	20022016	Proverbs of Solomon
20022017	20024034	Words of the Wise
20025001	20029027	More Proverbs of Solomon
20030001	20030033	The Oracle of Agur
20031001	20031009	The Oracle of King Lemuel
20031010	20031031	An Excellent Woman﻿
21001001	21001001	Prologue
21001002	21001002	Motto Introduced
21001003	21001011	All Toil is Profitless and Repetitious
21001012	21001018	Qohelet Introduces His Quest
21002001	21002003	Qohelet’s Investigation of Self-Indulgence
21002004	21002011	Qohelet’s Investigation of Personal Accomplishment
21002012	21002023	The Living Must Abandon the Work of their Hands to Others at Death
21002024	21002026	It is Best to Simply Enjoy the Passing Pleasures of Life as Reward for Pleasing God
21003001	21003009	God Has Ordained the Ebb and Flow of Human Activities
21003010	21003015	No One Understands God’s Mysterious Plan
21003016	21003022	God’s Mysterious Plan Allows Injustice to Exist in the World
21004001	21004003	The Existence of Oppression in the World Makes Human Existence Miserable
21004004	21004006	People Need Balance in Their Approach to Labor
21004007	21004008	Wealth without Someone with Which to Enjoy It is Futile
21004009	21004012	Friends and Family Can Help One Another in Life
21004013	21004016	One Must Be Willing to Listen to Counsel
21005001	21005007	Listen to God Rather Than Uttering Rash Vows
21005008	21005009	Powerful Bureaucrats Exploit the Helpless Poor
21005010	21005012	There is Never Enough Money to Satisfy
21005013	21005017	Hoarding Wealth Can Backfire
21005018	21005020	If You Have Wealth, Enjoy It as God Enables
21006001	21006006	Those Who Have Wealth but Do Not Enjoy It Are Pitiful
21006007	21006009	One Must Learn to Be Content with What One Has
21006010	21006011	It is Futile for Humans to Complain about God’s Irresistible Will
21006012	21006012	The Future is Inscrutable to Humans
21007001	21007006	People Generally Do Not Know What is Best for Them
21007007	21007012	Wisdom—Although Vulnerable—is Beneficial
21007013	21007014	Humans Must Accept God’s Will and Make the Best of It
21007015	21007018	The Law of Retribution Does Not Always Work—but It Does Sometimes
21007019	21007022	Wisdom is Valuable, but No One is Completely Righteous
21007023	21007029	Absolute Wisdom is Unattainable
21008001	21008006	Wisdom is Valuable
21008007	21008008	No One Knows the Future
21008009	21008010	The World Marred by Oppression and Injustice
21008011	21008014	Although Evil is Not Punished Swiftly, God Does Eventually Punish Sinners
21008015	21008015	Humans Should Enjoy the Life That God Gives to Them
21008016	21008017	No One Can Discover the Rhyme and Reason for Things
21009001	21009003	The Same Fate—Death—Awaits Everyone
21009004	21009006	Death Deprives Humans of Everything in Life
21009007	21009010	Enjoy Life While It Lasts
21009011	21009012	The Injustice of Time and Chance
21009013	21009016	Wisdom—Although Vulnerable—is Superior to Power
21009017	21010007	Wisdom—Although Vulnerable—is Superior to Folly
21010008	21010009	Accidents Happen—Even to Professionals
21010010	21010011	Hard Work and Skill Alone Cannot Succeed—Wisdom is Necessary
21010012	21010020	The Consequences of Foolishness
21011001	21011006	Living in the Light of the Limits of Human Knowledge
21011007	21011010	Enjoy Life to the Fullest within the Auspices of the Fear of God
21012001	21012007	Advice to the Young: Life is Short and Then You Die
21012008	21012008	Motto Restated
21012009	21012014	Epilogue
22001001	22001001	Title
22001002	22001004	The Maiden’s Soliloquy
22001005	22001006	The Maiden’s Self-Description
22001007	22001008	Dialogue between Shepherdess and Shepherd
22001009	22001011	The Man’s Poetic Praise of His Beloved
22001012	22001014	The Maiden’s Poetic Praise of Her Beloved
22001015	22001017	Mutual Admiration
22002001	22002003	Dialogue between the Maiden and Her Beloved
22002004	22002005	Banquet Hall of Love
22002006	22002007	Double Refrain: Embrace and Adjuration
22002008	22002015	Rendezvous in the Countryside
22002016	22002017	Poetic Refrain
22003001	22003004	The Maiden’s Dream: Seeking and Finding
22003005	22003005	Adjuration Refrain
22003006	22003011	Royal Wedding Procession
22004001	22004007	The Groom’s Praise of His Bride
22004008	22004011	The Mountains and Fragrance of Lebanon
22004012	22005001	The Locked Garden of Delights Is Unlocked
22005002	22005007	The Maiden’s Dream: Seeking and Not Finding
22005008	22005008	Adjuration Refrain
22005009	22006002	The Maiden’s Praise of Her Beloved
22006003	22006003	Mutual Possession Refrain
22006004	22006007	Solomon’s Praise of His Beloved
22006008	22006010	The Maiden’s Beauty Is Without Peer
22006011	22006013	The Journey to the Valley
22007001	22007009	Solomon’s Praise of His Dancing Maiden
22007010	22007010	Mutual Possession Refrain
22007011	22007013	Rendezvous in the Countryside
22008001	22008002	The Maiden’s Fanciful Wish
22008003	22008004	Double Refrain: Embrace and Adjuration
22008005	22008005	Up from the Wilderness and under the Apple Tree
22008006	22008007	The Nature of Genuine Romantic Love
22008008	22008010	The Maiden’s Virtuous Chastity and Voluptuous Beauty
22008011	22008012	Solomon’s Vineyard and the Maiden’s Gift
22008013	22008014	Closing Words of Mutual Love
23001001	23001001	Superscription
23001002	23001020	Rebellious Judah
23001021	23001031	Purifying Jerusalem
23002001	23002004	The Mountain of Yahweh
23002005	23002022	The Day of Yahweh
23003001	23003015	Leaders of Judah and Jerusalem
23003016	23004001	The Pride of Jerusalem’s Women
23004002	23004006	The Glory of the Branch of Yahweh
23005001	23005007	The Song of the Vineyard
23005008	23005025	Woes on the Wicked
23005026	23005030	Yahweh’s Outstretched Hand
23006001	23006013	Isaiah’s Commission
23007001	23007016	The Sign to Ahaz
23007017	23007025	That Day
23008001	23008004	Signs of the Assyrian Invasion
23008005	23008010	Shiloah Waters and Euphrates Flood
23008011	23008022	Wait for Yahweh
23009001	23009007	New Light: The Birth of a King
23009008	23009021	Yahweh’s Anger against Arrogance
23010001	23010004	Woes on the Wicked
23010005	23010019	Judgment on Assyria’s Arrogance
23010020	23010034	The Return of the Remnant
23011001	23011010	The Branch’s Righteous Reign
23011011	23011016	The Regathered Remnant
23012001	23012006	A Song of Thanksgiving
23013001	23013022	An Oracle against Babylon
23014001	23014002	The Restoration of Israel
23014003	23014023	The Downfall of the King of Babylon
23014024	23014027	Oracle of Judgment on Assyria
23014028	23014032	Oracle of Judgment on Philistia
23015001	23016014	Oracle of Judgment on Moab
23017001	23017011	Oracle of Judgment on Damascus
23017012	23017014	The Roar of the Peoples
23018001	23018007	Oracle of Judgment on Cush
23019001	23019015	Oracle of Judgment on Egypt
23019016	23019025	The Future Blessing of Egypt, Assyria, and Egypt
23020001	23020006	A Sign regarding Egypt and Cush
23021001	23021010	The Fall of Babylon
23021011	23021012	Oracle regarding Dumah
23021013	23021017	Oracle against Arabia
23022001	23022014	Oracle against Jerusalem
23022015	23022025	Oracle regarding Shebna
23023001	23023018	Oracle against Tyre
23024001	23024023	The Judgment on the Earth
23025001	23025012	Praise for Salvation
23026001	23026006	Judah’s Song of Praise
23026007	23026021	Yahweh’s People Vindicated
23027001	23027013	Israel Rescued
23028001	23028013	Judgment against the Leaders of Ephraim
23028014	23028022	The Cornerstone of Zion
23028023	23028029	A Parable of Yahweh’s Work
23029001	23029016	Woe to Jerusalem
23029017	23029024	Blessing after Punishment
23030001	23030005	Warning against Alliance with Egypt
23030006	23030017	Oracle regarding the Negev
23030018	23030026	Yahweh Will Show Mercy
23030027	23030033	Judgment against Assyria
23031001	23031009	The Egyptians are No Help
23032001	23032008	The Kingdom of Righteousness
23032009	23032020	Against the Carefree Women
23033001	23033024	Yahweh’s Judgment and Help
23034001	23034017	Judgment on the Nations
23035001	23035010	The Ransomed Return to Zion
23036001	23036022	Sennacherib Threatens Jerusalem
23037001	23037013	Hezekiah Consults Isaiah
23037014	23037020	Hezekiah’s Prayer
23037021	23037035	God’s Answer
23037036	23037038	Sennacherib’s Defeat
23038001	23038022	Hezekiah’s Illness
23039001	23039008	The Delegation from Babylon
23040001	23040031	Comfort for God’s People
23041001	23041029	God Helps Israel
23042001	23042009	The Mission of Yahweh’s Servant
23042010	23042017	A Song of Praise to Yahweh
23042018	23042025	Blind and Deaf Israel
23043001	23043013	The Restorer of Israel
23043014	23043028	Yahweh Rescues His People
23044001	23044005	Yahweh Blesses Chosen Israel
23044006	23044008	Yahweh the Only God
23044009	23044020	Idolatry Is Ridiculous
23044021	23044023	Yahweh Remembers Israel
23044024	23045013	Jerusalem Restored through Cyrus
23045014	23045025	Yahweh the Only Savior
23046001	23046013	Babylon’s Idols
23047001	23047015	Babylon’s Fall
23048001	23048011	Yahweh Refines Stubborn Israel
23048012	23048022	Yahweh Frees Israel
23049001	23049007	Yahweh’s Servant Brings Salvation
23049008	23049013	Yahweh Restores the Afflicted
23049014	23050003	Yahweh Remembers Zion
23050004	23050011	The Servant’s Vindication
23051001	23051023	Yahweh Comforts Zion
23052001	23052012	Yahweh Redeems Zion
23052013	23053012	The Servant’s Suffering and Exaltation
23054001	23054017	The Fertile Wife of Yahweh
23055001	23055013	Invitation to True Rewards
23056001	23056008	Salvation for All Who Obey
23056009	23056012	Wicked Leaders
23057001	23057013	Idolatry is Adultery
23057014	23057021	Peace for the Contrite
23058001	23058014	True Fasts and Sabbaths
23059001	23059021	Rampant Transgression
23060001	23060022	Zion Glorified
23061001	23061011	The Year of Yahweh’s Favor
23062001	23062012	Zion’s New Identity
23063001	23063006	Yahweh’s Day of Vengeance
23063007	23063014	Remembering Yahweh’s Mercy
23063015	23064012	Prayer for Mercy
23065001	23065016	Judgment and Salvation
23065017	23065025	New Creation
23066001	23066006	Proper Worship
23066007	23066013	Zion’s Delivery
23066014	23066024	Yahweh’s Final Judgment
24001001	24001010	Yahweh Appoints Jeremiah as a Prophet to the Nations
24001011	24001019	Yahweh Confirms Jeremiah’s Call
24002001	24002003	Yahweh Remembers Israel’s Faithfulness
24002004	24002008	The Unfaithfulness of Israel’s Ancestors
24002009	24003005	The Unfaithfulness of Contemporary Israel
24003006	24003010	Yahweh Gives Israel a Letter of Divorce
24003011	24004004	A Call for Repentance
24004005	24006030	An Invasion from the North
24007001	24007027	Jeremiah’s Proclamation at the Gate of the House of Yahweh
24007028	24008003	The Valley of the Slaughter
24008004	24008013	Yahweh Questions His People
24008014	24008020	The Nation Longs for Yahweh’s Help
24008021	24009003	Yahweh’s Lament
24009004	24009012	A Nation Characterized by Deceit
24009013	24009022	The Nation is Judged by Yahweh
24009023	24009024	The Things in Which Yahweh Delights
24009025	24010018	The Way of the Nations
24010019	24010025	The Nation Accepts Its Judgment
24011001	24011017	The Broken Covenant
24011018	24011023	A Warning for the People of Anathoth
24012001	24012004	Jeremiah’s Complaint
24012005	24012017	The Lord’s Reply
24013001	24013017	The Linen Loincloth
24013018	24013027	A Message for the King and the Queen Mother
24014001	24014010	The Severe Drought
24014011	24014016	Lying Prophets
24014017	24014022	The Nation Hopes in Yahweh
24015001	24015009	Four Types of Calamity
24015010	24015021	Jeremiah’s Lament and Yahweh’s Response
24016001	24016013	Jeremiah is Commanded Not to Marry
24016014	24016021	The Nation’s Return to the Land
24017001	24017004	The Sin of Judah
24017005	24017011	The One Who Trusts in Humankind Contrasted With the One Who Trusts in Yahweh
24017012	24017018	The Fountain of Living Water
24017019	24017027	The Sabbath Day
24018001	24018017	The Potter and the Clay
