startid	endid	title
10016015	10016023	Hushai Comes to Absalom
10017001	10017014	Hushai Frustrates the Counsel of Ahithophel
10017015	10017029	Hushai Sends Word to David
10018001	10018033	Absalom Dies in Battle
10019001	10019008	King David Weeps for Absalom
10019009	10019043	David Returns from Exile
10020001	10020003	Sheba Leads a Revolt
10020004	10020013	Joab Assassinates Amasa
10020014	10020026	Wisdom from a Woman under Siege
10021001	10021014	The Famine Brings Justice
10021015	10021022	Battles with the Philistines Recounted
10022001	10022051	The Victory Song of David
10023001	10023007	David Extols Yahweh
10023008	10023023	David’s Faithful Soldiers
10023024	10023039	The Mighty Men of David
10024001	10024025	David and the Census of the People
11001001	11001004	David’s Last Days
11001005	11001010	Adonijah Seeks David’s Throne
11001011	11001031	Solomon’s Intercessors
11001032	11001040	Solomon Is Crowned King
11001041	11001053	Adonijah’s Response to the Coronation of Solomon
11002001	11002012	David’s Instructions for Solomon
11002013	11002018	Adonijah’s Persistence
11002019	11002046	Solomon’s Responses to Adonijah, Joab, and Shimei
11003001	11003004	Solomon’s Walk with Yahweh
11003005	11003015	Solomon’s Request for Wisdom
11003016	11003028	Solomon’s Wisdom Tested: The Two Prostitutes
11004001	11004020	Solomon’s Wisdom: Political Administration
11004021	11004028	Solomon’s Wisdom: Prosperity
11004029	11004034	Solomon’s Wisdom: Literature, Zoology, Biology, Dendrology
11005001	11005018	Solomon’s Wisdom: Architecture
11006001	11006038	Solomon Builds the Temple for Yahweh
11007001	11007051	Solomon Continues to Build
11008001	11008011	The Dedication of the Temple
11008012	11008021	Solomon’s Proclamation to the Assembly of Israel
11008022	11008053	Solomon’s Prayer to Yahweh
11008054	11008061	Solomon Charges the People Israel
11008062	11008066	The Great Confirming Sacrifice
11009001	11009009	Yahweh’s Challenge to Solomon
11009010	11009014	Solomon and Hiram Complete Their Agreement
11009015	11009028	Solomon’s Accomplishments
11010001	11010029	The Visit of the Queen of Sheba
11011001	11011003	Solomon’s Foreign Wives
11011004	11011008	Solomon’s Apostasy
11011009	11011025	Yahweh’s Judgment on Solomon
11011026	11011043	Yahweh Raises Up Jeroboam
11012001	11012005	Israel’s Appeal to Rehoboam
11012006	11012011	Rehoboam Seeks Counsel to Respond
11012012	11012019	Rehoboam Responds Unwisely with Disastrous Results
11012020	11012024	Civil War Averted
11012025	11012033	Jeroboam Becomes King over Israel
11013001	11013010	A Man of God Proclaims Judgment against the False Altar
11013011	11013022	The Man of God Disobeys
11013023	11013032	The Disobedient Man of God Dies
11013033	11013034	Jeroboam Continues in His Sin
11014001	11014020	Judgment for Jeroboam Continues
11014021	11014024	Rehoboam Reigns in Judah
11014025	11014031	Pharaoh Shishak of Egypt Raids Jerusalem
11015001	11015008	The Reign of Abijam in Judah
11015009	11015024	The Reign of Asa in Judah
11015025	11015031	The Reign of Nadab in Israel
11015032	11016007	The Reign of Baasha in Israel
11016008	11016014	The Reign of Elah in Israel
11016015	11016020	The Very Brief Reign of Zimri in Israel
11016021	11016028	The Reign of Omri in Israel
11016029	11016034	The Reign of Ahab in Israel
11017001	11017024	The Prophet Elijah Arises
11018001	11018046	War between Elijah and the Prophets of Baal
11019001	11019008	Elijah Flees to Horeb
11019009	11019021	Elijah Encounters Yahweh at Horeb
11020001	11020043	Syrian-Israeli Conflicts: Ben-Hadad vs. Ahab of Israel
11021001	11021016	The Vineyard of Naboth the Jezreelite
11021017	11021029	Elijah Responds to Ahab
11022001	11022040	Jehoshaphat of Judah Allies with Ahab of Israel
11022041	11022050	King Jehoshaphat of Judah
11022051	11022053	King Ahaziah of Israel
12001001	12001016	Elijah and the Messengers of Ahaziah
12001017	12001018	Epitaph for Ahaziah
12002001	12002014	Elijah Taken Away from Elisha
12002015	12002025	Elisha Begins His Ministry
12003001	12003027	Joram Meets Moab in Battle
12004001	12004007	Elisha Answers a Widow’s Request
12004008	12004017	Elisha at Shunem
12004018	12004037	Elisha Restores the Shunammite’s Son
12004038	12004044	Elisha Secures the Food
12005001	12005014	The Healing of Naaman the Syrian
12005015	12005027	Elisha’s Greedy Servant Gehazi
12006001	12006007	Elisha Recovers a Lost Axe Head
12006008	12006023	Arameans Plot to Take Elisha
12006024	12006033	Besieged Samaria Resorts to Cannibalism
12007001	12007002	Elisha Prophesies Hope for Relief
12007003	12007015	Four Lepers Report the Departure of the Arameans
